IDDEFAULTSCREDITINDEX,INDEXLABEL,SERIES,BASEPRODUCT,SUBPRODUCT,TRANSACTIONTYPE,FAMILY,ONTHERUN
1,iTraxx Japan,13,Index,iTraxx,iTraxxJapan,,FALSE
2,iTraxx Japan,14,Index,iTraxx,iTraxxJapan,,FALSE
3,iTraxx Japan,15,Index,iTraxx,iTraxxJapan,,FALSE
4,iTraxx Japan,16,Index,iTraxx,iTraxxJapan,,FALSE
5,iTraxx Japan,17,Index,iTraxx,iTraxxJapan,,FALSE
6,iTraxx Japan,18,Index,iTraxx,iTraxxJapan,,FALSE
7,iTraxx Japan,19,Index,iTraxx,iTraxxJapan,,FALSE
8,iTraxx Japan,20,Index,iTraxx,iTraxxJapan,,FALSE
9,iTraxx Japan,21,Index,iTraxx,iTraxxJapan,,FALSE
10,iTraxx Japan,22,Index,iTraxx,iTraxxJapan,,FALSE
11,iTraxx Japan,23,Index,iTraxx,iTraxxJapan,,FALSE
12,iTraxx Japan,24,Index,iTraxx,iTraxxJapan,,FALSE
13,iTraxx Japan,25,Index,iTraxx,iTraxxJapan,,FALSE
14,iTraxx Japan,26,Index,iTraxx,iTraxxJapan,,FALSE
295,iTraxx Japan,27,Index,iTraxx,iTraxxJapan,,TRUE
15,iTraxx Europe,5,Index,iTraxx,iTraxxEurope,,FALSE
16,iTraxx Europe,6,Index,iTraxx,iTraxxEurope,,FALSE
17,iTraxx Europe,7,Index,iTraxx,iTraxxEurope,,FALSE
18,iTraxx Europe,8,Index,iTraxx,iTraxxEurope,,FALSE
19,iTraxx Europe,9,Index,iTraxx,iTraxxEurope,,FALSE
20,iTraxx Europe,10,Index,iTraxx,iTraxxEurope,,FALSE
21,iTraxx Europe,11,Index,iTraxx,iTraxxEurope,,FALSE
22,iTraxx Europe,12,Index,iTraxx,iTraxxEurope,,FALSE
23,iTraxx Europe,13,Index,iTraxx,iTraxxEurope,,FALSE
24,iTraxx Europe,14,Index,iTraxx,iTraxxEurope,,FALSE
25,iTraxx Europe,15,Index,iTraxx,iTraxxEurope,,FALSE
26,iTraxx Europe,16,Index,iTraxx,iTraxxEurope,,FALSE
27,iTraxx Europe,17,Index,iTraxx,iTraxxEurope,,FALSE
28,iTraxx Europe,18,Index,iTraxx,iTraxxEurope,,FALSE
29,iTraxx Europe,19,Index,iTraxx,iTraxxEurope,,FALSE
30,iTraxx Europe,20,Index,iTraxx,iTraxxEurope,,FALSE
31,iTraxx Europe,21,Index,iTraxx,iTraxxEurope,,FALSE
32,iTraxx Europe,22,Index,iTraxx,iTraxxEurope,,FALSE
33,iTraxx Europe,23,Index,iTraxx,iTraxxEurope,,FALSE
34,iTraxx Europe,24,Index,iTraxx,iTraxxEurope,,FALSE
35,iTraxx Europe,25,Index,iTraxx,iTraxxEurope,,FALSE
36,iTraxx Europe,26,Index,iTraxx,iTraxxEurope,,FALSE
296,iTraxx Europe,27,Index,iTraxx,iTraxxEurope,,TRUE
37,iTraxx Europe HiVol,5,Index,iTraxx,iTraxxEurope,HiVol,FALSE
38,iTraxx Europe HiVol,6,Index,iTraxx,iTraxxEurope,HiVol,FALSE
39,iTraxx Europe HiVol,7,Index,iTraxx,iTraxxEurope,HiVol,FALSE
40,iTraxx Europe HiVol,8,Index,iTraxx,iTraxxEurope,HiVol,FALSE
41,iTraxx Europe HiVol,9,Index,iTraxx,iTraxxEurope,HiVol,FALSE
42,iTraxx Europe HiVol,10,Index,iTraxx,iTraxxEurope,HiVol,FALSE
43,iTraxx Europe HiVol,11,Index,iTraxx,iTraxxEurope,HiVol,FALSE
44,iTraxx Europe HiVol,12,Index,iTraxx,iTraxxEurope,HiVol,FALSE
45,iTraxx Europe HiVol,13,Index,iTraxx,iTraxxEurope,HiVol,FALSE
46,iTraxx Europe HiVol,14,Index,iTraxx,iTraxxEurope,HiVol,FALSE
47,iTraxx Europe HiVol,15,Index,iTraxx,iTraxxEurope,HiVol,FALSE
48,iTraxx Europe HiVol,16,Index,iTraxx,iTraxxEurope,HiVol,FALSE
49,iTraxx Europe HiVol,17,Index,iTraxx,iTraxxEurope,HiVol,FALSE
50,iTraxx Europe HiVol,18,Index,iTraxx,iTraxxEurope,HiVol,FALSE
51,iTraxx Europe HiVol,19,Index,iTraxx,iTraxxEurope,HiVol,FALSE
52,iTraxx Europe HiVol,20,Index,iTraxx,iTraxxEurope,HiVol,TRUE
53,iTraxx Europe Crossover,5,Index,iTraxx,iTraxxEurope,Crossover,FALSE
54,iTraxx Europe Crossover,6,Index,iTraxx,iTraxxEurope,Crossover,FALSE
55,iTraxx Europe Crossover,7,Index,iTraxx,iTraxxEurope,Crossover,FALSE
56,iTraxx Europe Crossover,8,Index,iTraxx,iTraxxEurope,Crossover,FALSE
57,iTraxx Europe Crossover,9,Index,iTraxx,iTraxxEurope,Crossover,FALSE
58,iTraxx Europe Crossover,10,Index,iTraxx,iTraxxEurope,Crossover,FALSE
59,iTraxx Europe Crossover,11,Index,iTraxx,iTraxxEurope,Crossover,FALSE
60,iTraxx Europe Crossover,12,Index,iTraxx,iTraxxEurope,Crossover,FALSE
61,iTraxx Europe Crossover,13,Index,iTraxx,iTraxxEurope,Crossover,FALSE
62,iTraxx Europe Crossover,14,Index,iTraxx,iTraxxEurope,Crossover,FALSE
63,iTraxx Europe Crossover,15,Index,iTraxx,iTraxxEurope,Crossover,FALSE
64,iTraxx Europe Crossover,16,Index,iTraxx,iTraxxEurope,Crossover,FALSE
65,iTraxx Europe Crossover,17,Index,iTraxx,iTraxxEurope,Crossover,FALSE
66,iTraxx Europe Crossover,18,Index,iTraxx,iTraxxEurope,Crossover,FALSE
67,iTraxx Europe Crossover,19,Index,iTraxx,iTraxxEurope,Crossover,FALSE
68,iTraxx Europe Crossover,20,Index,iTraxx,iTraxxEurope,Crossover,FALSE
69,iTraxx Europe Crossover,21,Index,iTraxx,iTraxxEurope,Crossover,FALSE
70,iTraxx Europe Crossover,22,Index,iTraxx,iTraxxEurope,Crossover,FALSE
71,iTraxx Europe Crossover,23,Index,iTraxx,iTraxxEurope,Crossover,FALSE
72,iTraxx Europe Crossover,24,Index,iTraxx,iTraxxEurope,Crossover,FALSE
73,iTraxx Europe Crossover,25,Index,iTraxx,iTraxxEurope,Crossover,FALSE
74,iTraxx Europe Crossover,26,Index,iTraxx,iTraxxEurope,Crossover,FALSE
297,iTraxx Europe Crossover,27,Index,iTraxx,iTraxxEurope,Crossover,TRUE
75,iTraxx Europe Senior Financials,5,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
76,iTraxx Europe Senior Financials,6,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
77,iTraxx Europe Senior Financials,7,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
78,iTraxx Europe Senior Financials,8,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
79,iTraxx Europe Senior Financials,9,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
80,iTraxx Europe Senior Financials,10,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
81,iTraxx Europe Senior Financials,11,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
82,iTraxx Europe Senior Financials,12,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
83,iTraxx Europe Senior Financials,13,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
84,iTraxx Europe Senior Financials,14,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
85,iTraxx Europe Senior Financials,15,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
86,iTraxx Europe Senior Financials,16,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
87,iTraxx Europe Senior Financials,17,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
88,iTraxx Europe Senior Financials,18,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
89,iTraxx Europe Senior Financials,19,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
90,iTraxx Europe Senior Financials,20,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
91,iTraxx Europe Senior Financials,21,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
92,iTraxx Europe Senior Financials,22,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
93,iTraxx Europe Senior Financials,23,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
94,iTraxx Europe Senior Financials,24,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
95,iTraxx Europe Senior Financials,25,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
96,iTraxx Europe Senior Financials,26,Index,iTraxx,iTraxxEurope,SeniorFinancials,FALSE
298,iTraxx Europe Senior Financials,27,Index,iTraxx,iTraxxEurope,SeniorFinancials,TRUE
97,CDX.EM,14,Index,CDX,CDXEM,,FALSE
98,CDX.EM,15,Index,CDX,CDXEM,,FALSE
99,CDX.EM,16,Index,CDX,CDXEM,,FALSE
100,CDX.EM,17,Index,CDX,CDXEM,,FALSE
101,CDX.EM,18,Index,CDX,CDXEM,,FALSE
102,CDX.EM,19,Index,CDX,CDXEM,,FALSE
103,CDX.EM,20,Index,CDX,CDXEM,,FALSE
104,CDX.EM,21,Index,CDX,CDXEM,,FALSE
105,CDX.EM,22,Index,CDX,CDXEM,,FALSE
106,CDX.EM,23,Index,CDX,CDXEM,,FALSE
107,CDX.EM,24,Index,CDX,CDXEM,,FALSE
108,CDX.EM,25,Index,CDX,CDXEM,,FALSE
109,CDX.EM,26,Index,CDX,CDXEM,,FALSE
299,CDX.EM,27,Index,CDX,CDXEM,,TRUE
110,CDX.NA.HY,12,Index,CDX,CDXHY,,FALSE
111,CDX.NA.HY,13,Index,CDX,CDXHY,,FALSE
112,CDX.NA.HY,14,Index,CDX,CDXHY,,FALSE
113,CDX.NA.HY,15,Index,CDX,CDXHY,,FALSE
114,CDX.NA.HY,16,Index,CDX,CDXHY,,FALSE
115,CDX.NA.HY,17,Index,CDX,CDXHY,,FALSE
116,CDX.NA.HY,18,Index,CDX,CDXHY,,FALSE
117,CDX.NA.HY,19,Index,CDX,CDXHY,,FALSE
118,CDX.NA.HY,20,Index,CDX,CDXHY,,FALSE
119,CDX.NA.HY,21,Index,CDX,CDXHY,,FALSE
120,CDX.NA.HY,22,Index,CDX,CDXHY,,FALSE
121,CDX.NA.HY,23,Index,CDX,CDXHY,,FALSE
122,CDX.NA.HY,24,Index,CDX,CDXHY,,FALSE
123,CDX.NA.HY,25,Index,CDX,CDXHY,,FALSE
124,CDX.NA.HY,26,Index,CDX,CDXHY,,FALSE
125,CDX.NA.HY,27,Index,CDX,CDXHY,,FALSE
300,CDX.NA.HY,28,Index,CDX,CDXHY,,TRUE
126,CDX.NA.IG.HVOL,14,Index,CDX,CDXIG,HiVol,FALSE
127,CDX.NA.IG.HVOL,15,Index,CDX,CDXIG,HiVol,FALSE
128,CDX.NA.IG.HVOL,16,Index,CDX,CDXIG,HiVol,FALSE
129,CDX.NA.IG.HVOL,17,Index,CDX,CDXIG,HiVol,FALSE
130,CDX.NA.IG.HVOL,18,Index,CDX,CDXIG,HiVol,FALSE
131,CDX.NA.IG.HVOL,19,Index,CDX,CDXIG,HiVol,FALSE
132,CDX.NA.IG.HVOL,20,Index,CDX,CDXIG,HiVol,FALSE
133,CDX.NA.IG.HVOL,21,Index,CDX,CDXIG,HiVol,FALSE
