IDDEFAULTSINTERESTRATE,IDPRODUCTMASTER,CURRENCY,FLOATINDEX,INDEXTENOR,FLOATPAYFREQUENCY,FIXEDPAYFREQUENCY,FLOATDAYCOUNT,FIXEDDAYCOUNT,BUSINESSDAYCONVENTION,HOLIDAYCALENDARS,MATURITY,NOTIONAL,FIXEDCOUPON,FIXINGHOLIDAYCALENDERS
1,2,AUD,AUD-BBR-BBSW,6M,6M,,ACT/365.FIXED,,MODFOLLOWING,AUSY,5Y,10000000,,AUSY
2,2,BRL,BRL-CDI,1D,1T,,BUS/252,,FOLLOWING,"BRBD, USNY",5Y,10000000,,"BRBD,USNY"
3,2,CAD,CAD-BA-CDOR,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,CATO,5Y,10000000,,CATO
4,2,CHF,CHF-LIBOR-BBA,6M,6M,,ACT/360,,MODFOLLOWING,CHZU,5Y,10000000,,GBLO
5,2,CNY,CNY-CNREPOFIX=CFXS-Reuters,1W,3M,,ACT/365.FIXED,,MODFOLLOWING,"CNBE, HKHK",5Y,10000000,,
6,2,CNY,CNY-SHIBOR-Reuters,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,"CNBE, HKHK",5Y,10000000,,
7,2,CZK,CZK-PRIBOR-PRBO,6M,6M,,ACT/360,,MODFOLLOWING,CZPR,5Y,10000000,,CZPR
8,2,DKK,DKK-CIBOR2-DKNA13,6M,6M,,ACT/360,,MODFOLLOWING,DKCO,5Y,10000000,,DKCO
9,2,DKK,DKK-CIBOR-DKNA13,6M,6M,,ACT/360,,MODFOLLOWING,DKCO,5Y,10000000,,DKCO
10,2,EUR,EUR-EURIBOR-Reuters,6M,6M,,ACT/360,,MODFOLLOWING,EUTA,5Y,10000000,,EUTA
11,2,EUR,EUR-EURIBOR-Telerate,3M,3M,,ACT/360,,MODFOLLOWING,EUTA,5Y,10000000,,EUTA
12,2,EUR,EUR-EONIA-OIS-COMPOUND,1D,3M,,ACT/360,,MODFOLLOWING,EUTA,5Y,10000000,,EUTA
13,2,EUR,EUR-LIBOR-BBA,3M,3M,,ACT/360,,MODFOLLOWING,EUTA,5Y,10000000,,"EUTA,GBLO"
14,2,GBP,GBP-LIBOR-BBA,6M,6M,,ACT/365.FIXED,,MODFOLLOWING,GBLO,5Y,10000000,,GBLO
15,2,GBP,GBP-WMBA-SONIA-COMPOUND,1D,6M,,ACT/365.FIXED,,MODFOLLOWING,GBLO,5Y,10000000,,GBLO
16,2,HKD,HKD-HIBOR-HKAB,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,HKHK,5Y,10000000,,HKHK
17,2,HKD,HKD-HIBOR-HIBOR=,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,HKHK,5Y,10000000,,HKHK
18,2,HKD,HKD-HIBOR-ISDC,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,HKHK,5Y,10000000,,HKHK
19,2,HUF,HUF-BUBOR-Reuters,6M,6M,,ACT/360,,MODFOLLOWING,HUBU,5Y,100000000,,HUBU
20,2,ILS,ILS-TELBOR01-Reuters,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,ILTA,5Y,10000000,,
21,2,INR,INR-MIBOR-INB_MIBOR,1D,6M,,ACT/365.FIXED,,MODFOLLOWING,"INMU, USNY",5Y,10000000,,"INMU,USNY"
22,2,JPY,JPY-LIBOR-BBA,6M,6M,,ACT/360,,MODFOLLOWING,JPTO,5Y,100000000,,GBLO
23,2,JPY,JPY-TIBOR-ZTIBOR,6M,6M,,ACT/360,,MODFOLLOWING,JPTO,5Y,100000000,,GBLO
24,2,KRW,KRW-CD-KSDA-Bloomberg,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,"KRSE, USNY",5Y,10000000000,,KRSE
25,2,MXN,MXN-TIIE-Banxico,28D,28D,,ACT/360,,MODFOLLOWING,MXMC,5Y,10000000,,MXMC
26,2,MYR,MYR-KLIBOR-BNM,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,"MYKL, USNY",5Y,10000000,,
27,2,NOK,NOK-NIBOR-OIBOR,6M,6M,,ACT/360,,MODFOLLOWING,NOOS,5Y,10000000,,NOOS
28,2,NOK,NOK-NIBOR-NIBR,6M,6M,,ACT/360,,MODFOLLOWING,NOOS,5Y,10000000,,NOOS
29,2,NZD,NZD-BBR-FRA,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,NZWE,5Y,10000000,,NZWE
30,2,NZD,NZD-BBR-Telerate,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,NZWE,5Y,10000000,,NZWE
31,2,PHP,PHP-PHIREF-Reuters,3M,3M,,ACT/360,,MODFOLLOWING,"PHMA, USNY",5Y,10000000,,
32,2,PLN,PLN-WIBOR-WIBO,6M,6M,,ACT/365.FIXED,,MODFOLLOWING,PLWA,5Y,10000000,,PLWA
33,2,RUB,RUB-MOSPRIME-NFEA,3M,3M,,ACT/ACT.ISDA,,MODFOLLOWING,"RUMO, USNY",5Y,10000000,,
34,2,SEK,SEK-STIBOR-SIDE,3M,3M,,ACT/360,,MODFOLLOWING,SEST,5Y,10000000,,SEST
35,2,SGD,SGD-SOR-VWAP,6M,6M,,ACT/365.FIXED,,MODFOLLOWING,SGSI,5Y,10000000,,SGSI
36,2,SGD,SGD-SOR-Reuters,6M,6M,,ACT/365.FIXED,,MODFOLLOWING,SGSI,5Y,10000000,,SGSI
37,2,SKK,SKK-BRIBOR-Bloomberg,3M,3M,,ACT/360,,MODFOLLOWING,SKBR,5Y,10000000,,
38,2,THB,THB-THBFIX-Reuters,6M,6M,,ACT/365.FIXED,,MODFOLLOWING,"THBA, USNY",5Y,10000000,,
39,2,TRY,TRY-TRYIBOR-Reuters,3M,3M,,ACT/360,,MODFOLLOWING,TRIS,5Y,10000000,,
40,2,TWD,TWD-Reuters-6165,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,"TWTA, USNY",5Y,10000000,,
41,2,USD,USD-LIBOR-BBA,3M,3M,,ACT/360,,MODFOLLOWING,"USNY, GBLO",5Y,10000000,,"USNY,GBLO"
42,2,USD,USD-Federal Funds-H.15,1D,3M,,ACT/360,,MODFOLLOWING,"USNY, GBLO",5Y,10000000,,"USNY,GBLO"
43,2,VND,VND-Semi-Annual Swap Rate-11BG,6M,6M,,ACT/360,,MODFOLLOWING,"USNY, VNHA",5Y,10000000,,
44,2,ZAR,ZAR-JIBAR-SAFEX,3M,3M,,ACT/365.FIXED,,MODFOLLOWING,ZAJO,5Y,10000000,,ZAJO
45,3,AUD,AUD-BBR-BBSW,6M,6M,6M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,AUSY,5Y,10000000,0.01,AUSY
46,3,BRL,BRL-CDI,1D,1T,1T,BUS/252,BUS/252,FOLLOWING,"BRBD, USNY",5Y,10000000,0.01,"BRBD,USNY"
47,3,CAD,CAD-BA-CDOR,3M,3M,6M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,CATO,5Y,10000000,0.01,CATO
48,3,CHF,CHF-LIBOR-BBA,6M,6M,12M,ACT/360,30/360,MODFOLLOWING,CHZU,5Y,10000000,0.01,GBLO
49,3,CNY,CNY-CNREPOFIX=CFXS-Reuters,1W,3M,3M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,"CNBE, HKHK",5Y,10000000,0.01,
50,3,CNY,CNY-SHIBOR-Reuters,3M,3M,3M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,"CNBE, HKHK",5Y,10000000,0.01,
51,3,COP,COP-IBR-OIS-COMPOUND,1D,3M,3M,ACT/360,ACT/360,MODFOLLOWING,"COBO, USNY",5Y,10000000,0.01,
52,3,CZK,CZK-PRIBOR-PRBO,6M,6M,12M,ACT/360,ACT/360,MODFOLLOWING,CZPR,5Y,10000000,0.01,CZPR
53,3,DKK,DKK-CIBOR2-DKNA13,6M,6M,12M,ACT/360,30/360,MODFOLLOWING,DKCO,5Y,10000000,0.01,DKCO
54,3,DKK,DKK-CIBOR-DKNA13,6M,6M,12M,ACT/360,30/360,MODFOLLOWING,DKCO,5Y,10000000,0.01,DKCO
55,3,EUR,EUR-EURIBOR-Reuters,6M,6M,12M,ACT/360,30/360,MODFOLLOWING,EUTA,5Y,10000000,0.01,EUTA
56,3,EUR,EUR-EURIBOR-Telerate,6M,6M,12M,ACT/360,30/360,MODFOLLOWING,EUTA,5Y,10000000,0.01,EUTA
57,3,EUR,EUR-LIBOR-BBA,6M,6M,12M,ACT/360,30/360,MODFOLLOWING,EUTA,5Y,10000000,0.01,EUTA
58,3,GBP,GBP-LIBOR-BBA,6M,6M,6M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,GBLO,5Y,10000000,0.01,GBLO
59,3,HKD,HKD-HIBOR-HKAB,3M,3M,3M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,HKHK,5Y,10000000,0.01,HKHK
60,3,HKD,HKD-HIBOR-HIBOR=,3M,3M,3M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,HKHK,5Y,10000000,0.01,HKHK
61,3,HKD,HKD-HIBOR-ISDC,3M,3M,3M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,HKHK,5Y,10000000,0.01,HKHK
62,3,HUF,HUF-BUBOR-Reuters,6M,6M,12M,ACT/360,ACT/365.FIXED,MODFOLLOWING,HUBU,5Y,100000000,0.01,HUBU
63,3,ILS,ILS-TELBOR01-Reuters,3M,3M,12M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,ILTA,5Y,10000000,0.01,
64,3,INR,INR-MIBOR-INB_MIBOR,1D,6M,6M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,"INMU, USNY",5Y,10000000,0.01,"INMU,USNY"
65,3,JPY,JPY-LIBOR-BBA,6M,6M,6M,ACT/360,ACT/365.FIXED,MODFOLLOWING,JPTO,5Y,100000000,0.01,GBLO
66,3,JPY,JPY-TIBOR-ZTIBOR,6M,6M,6M,ACT/360,ACT/365.FIXED,MODFOLLOWING,JPTO,5Y,100000000,0.01,GBLO
67,3,KRW,KRW-CD-3220,3M,3M,3M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,"KRSE, USNY",5Y,10000000000,0.01,KRSE
68,3,KRW,KRW-CD-KSDA-Bloomberg,3M,3M,3M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,"KRSE, USNY",5Y,10000000000,0.01,KRSE
69,3,MXN,MXN-TIIE-Banxico,28D,28D,28D,ACT/360,ACT/360,MODFOLLOWING,MXMC,5Y,10000000,0.01,MXMC
70,3,MYR,MYR-KLIBOR-BNM,3M,3M,3M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,"MYKL, USNY",5Y,10000000,0.01,
71,3,NOK,NOK-NIBOR-NIBR,6M,6M,12M,ACT/360,30/360,MODFOLLOWING,NOOS,5Y,10000000,0.01,NOOS
72,3,NOK,NOK-NIBOR-OIBOR,6M,6M,12M,ACT/360,30/360,MODFOLLOWING,NOOS,5Y,10000000,0.01,NOOS
73,3,NZD,NZD-BBR-FRA,3M,3M,6M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,NZWE,5Y,10000000,0.01,NZWE
74,3,NZD,NZD-BBR-Telerate,3M,3M,6M,ACT/365.FIXED,ACT/365.FIXED,MODFOLLOWING,NZWE,5Y,10000000,0.01,NZWE
75,3,PHP,PHP-PHIREF-Reuters,3M,3M,3M,ACT/360,ACT/360,MODFOLLOWING,"PHMA, USNY",5Y,10000000,0.01,
